Average Speed,Vehicle Count,Timestamp,Street,Nearest Centroid
Average Speed,Vehicle Count,Timestamp,Street,Nearest Centroid
Average Speed,Vehicle Count,Timestamp,Street,Nearest Centroid
61,0,2014-02-20 17:55:00,West Street,n/a
19,1,2014-02-20 17:55:00,High Street,n/a
22,3,2014-02-20 17:55:00,North Street,n/a
45,4,2014-02-20 17:55:00,North Street,n/a
41,0,2014-02-20 17:55:00,East Street,n/a
54,2,2014-02-20 17:55:00,West Street,n/a
29,8,2014-02-20 17:55:00,North Street,n/a
35,2,2014-02-20 17:55:00,North Street,n/a
33,0,2014-02-20 17:55:00,North Street,n/a
43,2,2014-02-20 17:55:00,North Street,n/a
69,18,2014-02-20 17:55:00,South Street,n/a
90,12,2014-02-20 17:55:00,South Street,n/a
58,4,2014-02-20 17:55:00,North Street,n/a
59,1,2014-02-20 17:55:00,North Street,n/a
36,1,2014-02-20 17:55:00,West Street,n/a
33,2,2014-02-20 17:55:00,High Street,n/a
80,9,2014-02-20 17:55:00,West Street,n/a
17,3,2014-02-20 17:55:00,High Street,n/a
24,4,2014-02-20 17:55:00,South Street,n/a
38,1,2014-02-20 17:55:00,South Street,n/a
58,4,2014-02-20 17:55:00,North Street,n/a
52,3,2014-02-20 17:55:00,North Street,n/a
24,0,2014-02-20 17:55:00,High Street,n/a
35,5,2014-02-20 17:55:00,East Street,n/a
21,4,2014-02-20 17:55:00,North Street,n/a
27,0,2014-02-20 17:55:00,North Street,n/a
31,1,2014-02-20 17:55:00,South Street,n/a
49,4,2014-02-20 17:55:00,High Street,n/a
38,1,2014-02-20 17:55:00,High Street,n/a
14,0,2014-02-20 17:55:00,West Street,n/a
27,0,2014-02-20 17:55:00,South Street,n/a
84,3,2014-02-20 17:55:00,South Street,n/a
80,6,2014-02-20 17:55:00,South Street,n/a
21,5,2014-02-20 17:55:00,North Street,n/a
21,4,2014-02-20 17:55:00,West Street,n/a
21,0,2014-02-20 17:55:00,South Street,n/a
41,2,2014-02-20 17:55:00,South Street,n/a
84,11,2014-02-20 17:55:00,South Street,n/a
49,0,2014-02-20 17:55:00,High Street,n/a
61,6,2014-02-20 17:55:00,West Street,n/a
30,2,2014-02-20 17:55:00,North Street,n/a
51,4,2014-02-20 17:55:00,North Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
22,1,2014-02-20 17:55:00,North Street,n/a
81,1,2014-02-20 17:55:00,North Street,n/a
28,5,2014-02-20 17:55:00,West Street,n/a
62,1,2014-02-20 17:55:00,North Street,n/a
47,3,2014-02-20 17:55:00,North Street,n/a
20,5,2014-02-20 17:55:00,South Street,n/a
48,4,2014-02-20 17:55:00,North Street,n/a
73,6,2014-02-20 17:55:00,South Street,n/a
69,2,2014-02-20 17:55:00,South Street,n/a
53,3,2014-02-20 17:55:00,West Street,n/a
34,7,2014-02-20 17:55:00,South Street,n/a
45,0,2014-02-20 17:55:00,West Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
49,3,2014-02-20 17:55:00,North Street,n/a
26,0,2014-02-20 17:55:00,High Street,n/a
56,12,2014-02-20 17:55:00,South Street,n/a
43,0,2014-02-20 17:55:00,North Street,n/a
45,20,2014-02-20 17:55:00,High Street,n/a
0,0,2014-02-20 17:55:00,High Street,n/a
46,0,2014-02-20 17:55:00,North Street,n/a
55,0,2014-02-20 17:55:00,South Street,n/a
52,0,2014-02-20 17:55:00,West Street,n/a
35,12,2014-02-20 17:55:00,High Street,n/a
0,0,2014-02-20 17:55:00,High Street,n/a
39,1,2014-02-20 17:55:00,South Street,n/a
109,19,2014-02-20 17:55:00,South Street,n/a
49,3,2014-02-20 17:55:00,East Street,n/a
41,8,2014-02-20 17:55:00,High Street,n/a
61,1,2014-02-20 17:55:00,North Street,n/a
42,8,2014-02-20 17:55:00,North Street,n/a
34,10,2014-02-20 17:55:00,North Street,n/a
79,4,2014-02-20 17:55:00,North Street,n/a
58,7,2014-02-20 17:55:00,North Street,n/a
74,5,2014-02-20 17:55:00,West Street,n/a
58,1,2014-02-20 17:55:00,West Street,n/a
16,0,2014-02-20 17:55:00,North Street,n/a
33,0,2014-02-20 17:55:00,North Street,n/a
55,4,2014-02-20 17:55:00,High Street,n/a
10,0,2014-02-20 17:55:00,High Street,n/a
62,11,2014-02-20 17:55:00,High Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
21,1,2014-02-20 17:55:00,West Street,n/a
30,0,2014-02-20 17:55:00,North Street,n/a
34,0,2014-02-20 17:55:00,West Street,n/a
59,8,2014-02-20 17:55:00,South Street,n/a
52,3,2014-02-20 17:55:00,West Street,n/a
30,1,2014-02-20 17:55:00,South Street,n/a
15,1,2014-02-20 17:55:00,South Street,n/a
24,0,2014-02-20 17:55:00,North Street,n/a
3,0,2014-02-20 17:55:00,High Street,n/a
57,9,2014-02-20 17:55:00,West Street,n/a
43,7,2014-02-20 17:55:00,High Street,n/a
31,2,2014-02-20 17:55:00,High Street,n/a
47,1,2014-02-20 17:55:00,North Street,n/a
0,0,2014-02-20 17:55:00,High Street,n/a
35,4,2014-02-20 17:55:00,High Street,n/a
32,4,2014-02-20 17:55:00,South Street,n/a
31,9,2014-02-20 17:55:00,North Street,n/a
24,0,2014-02-20 17:55:00,West Street,n/a
43,0,2014-02-20 17:55:00,West Street,n/a
57,4,2014-02-20 17:55:00,North Street,n/a
24,5,2014-02-20 17:55:00,North Street,n/a
0,0,2014-02-20 17:55:00,South Street,n/a
38,2,2014-02-20 17:55:00,North Street,n/a
16,1,2014-02-20 17:55:00,West Street,n/a
33,4,2014-02-20 17:55:00,North Street,n/a
45,11,2014-02-20 17:55:00,High Street,n/a
47,1,2014-02-20 17:55:00,High Street,n/a
70,6,2014-02-20 17:55:00,South Street,n/a
30,0,2014-02-20 17:55:00,West Street,n/a
48,5,2014-02-20 17:55:00,North Street,n/a
22,0,2014-02-20 17:55:00,North Street,n/a
36,9,2014-02-20 17:55:00,South Street,n/a
38,7,2014-02-20 17:55:00,West Street,n/a
19,0,2014-02-20 17:55:00,North Street,n/a
35,2,2014-02-20 17:55:00,High Street,n/a
29,0,2014-02-20 17:55:00,North Street,n/a
22,0,2014-02-20 17:55:00,High Street,n/a
45,2,2014-02-20 17:55:00,South Street,n/a
31,0,2014-02-20 17:55:00,South Street,n/a
55,0,2014-02-20 17:55:00,North Street,n/a
77,16,2014-02-20 17:55:00,North Street,n/a
61,3,2014-02-20 17:55:00,South Street,n/a
42,0,2014-02-20 17:55:00,North Street,n/a
54,4,2014-02-20 17:55:00,North Street,n/a
51,0,2014-02-20 17:55:00,West Street,n/a
58,1,2014-02-20 17:55:00,North Street,n/a
62,12,2014-02-20 17:55:00,South Street,n/a
34,2,2014-02-20 17:55:00,North Street,n/a
32,7,2014-02-20 17:55:00,North Street,n/a
17,0,2014-02-20 17:55:00,South Street,n/a
35,2,2014-02-20 17:55:00,West Street,n/a
26,0,2014-02-20 17:55:00,South Street,n/a
63,1,2014-02-20 17:55:00,South Street,n/a
48,7,2014-02-20 17:55:00,North Street,n/a
24,3,2014-02-20 17:55:00,North Street,n/a
24,20,2014-02-20 17:55:00,West Street,n/a
38,1,2014-02-20 17:55:00,West Street,n/a
55,2,2014-02-20 17:55:00,South Street,n/a
39,3,2014-02-20 17:55:00,High Street,n/a
68,3,2014-02-20 17:55:00,North Street,n/a
38,0,2014-02-20 17:55:00,High Street,n/a
23,3,2014-02-20 17:55:00,North Street,n/a
56,10,2014-02-20 17:55:00,South Street,n/a
17,4,2014-02-20 17:55:00,West Street,n/a
55,11,2014-02-20 17:55:00,North Street,n/a
24,3,2014-02-20 17:55:00,High Street,n/a
40,2,2014-02-20 17:55:00,South Street,n/a
57,2,2014-02-20 17:55:00,South Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
20,1,2014-02-20 17:55:00,South Street,n/a
0,0,2014-02-20 17:55:00,South Street,n/a
57,6,2014-02-20 17:55:00,South Street,n/a
56,5,2014-02-20 17:55:00,South Street,n/a
35,0,2014-02-20 17:55:00,South Street,n/a
32,2,2014-02-20 17:55:00,North Street,n/a
23,2,2014-02-20 17:55:00,High Street,n/a
38,4,2014-02-20 17:55:00,South Street,n/a
38,2,2014-02-20 17:55:00,South Street,n/a
58,9,2014-02-20 17:55:00,South Street,n/a
78,2,2014-02-20 17:55:00,North Street,n/a
62,2,2014-02-20 17:55:00,North Street,n/a
55,0,2014-02-20 17:55:00,High Street,n/a
49,6,2014-02-20 17:55:00,West Street,n/a
49,2,2014-02-20 17:55:00,North Street,n/a
76,20,2014-02-20 17:55:00,West Street,n/a
30,2,2014-02-20 17:55:00,North Street,n/a
60,9,2014-02-20 17:55:00,South Street,n/a
20,1,2014-02-20 17:55:00,North Street,n/a
52,16,2014-02-20 17:55:00,North Street,n/a
0,0,2014-02-20 17:55:00,East Street,n/a
30,13,2014-02-20 17:55:00,South Street,n/a
36,2,2014-02-20 17:55:00,North Street,n/a
40,6,2014-02-20 17:55:00,South Street,n/a
44,13,2014-02-20 17:55:00,West Street,n/a
53,10,2014-02-20 17:55:00,High Street,n/a
52,2,2014-02-20 17:55:00,South Street,n/a
36,0,2014-02-20 17:55:00,North Street,n/a
33,4,2014-02-20 17:55:00,South Street,n/a
29,3,2014-02-20 17:55:00,High Street,n/a
57,19,2014-02-20 17:55:00,North Street,n/a
54,10,2014-02-20 17:55:00,South Street,n/a
32,2,2014-02-20 17:55:00,North Street,n/a
29,0,2014-02-20 17:55:00,North Street,n/a
28,0,2014-02-20 17:55:00,North Street,n/a
40,2,2014-02-20 17:55:00,High Street,n/a
9,0,2014-02-20 17:55:00,South Street,n/a
37,3,2014-02-20 17:55:00,South Street,n/a
15,0,2014-02-20 17:55:00,High Street,n/a
34,0,2014-02-20 17:55:00,West Street,n/a
19,1,2014-02-20 17:55:00,West Street,n/a
16,0,2014-02-20 17:55:00,West Street,n/a
27,0,2014-02-20 17:55:00,High Street,n/a
38,12,2014-02-20 17:55:00,North Street,n/a
24,0,2014-02-20 17:55:00,High Street,n/a
19,0,2014-02-20 17:55:00,East Street,n/a
69,14,2014-02-20 17:55:00,South Street,n/a
38,2,2014-02-20 17:55:00,West Street,n/a
29,3,2014-02-20 17:55:00,High Street,n/a
55,6,2014-02-20 17:55:00,North Street,n/a
38,16,2014-02-20 17:55:00,South Street,n/a
53,1,2014-02-20 17:55:00,North Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
90,6,2014-02-20 17:55:00,West Street,n/a
39,0,2014-02-20 17:55:00,West Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
79,7,2014-02-20 17:55:00,South Street,n/a
70,5,2014-02-20 17:55:00,South Street,n/a
45,16,2014-02-20 17:55:00,South Street,n/a
58,10,2014-02-20 17:55:00,South Street,n/a
50,1,2014-02-20 17:55:00,West Street,n/a
37,2,2014-02-20 17:55:00,High Street,n/a
51,4,2014-02-20 17:55:00,West Street,n/a
55,1,2014-02-20 17:55:00,South Street,n/a
44,0,2014-02-20 17:55:00,East Street,n/a
50,6,2014-02-20 17:55:00,High Street,n/a
44,4,2014-02-20 17:55:00,South Street,n/a
0,0,2014-02-20 17:55:00,High Street,n/a
52,1,2014-02-20 17:55:00,High Street,n/a
76,6,2014-02-20 17:55:00,West Street,n/a
27,3,2014-02-20 17:55:00,East Street,n/a
32,1,2014-02-20 17:55:00,South Street,n/a
65,11,2014-02-20 17:55:00,South Street,n/a
51,2,2014-02-20 17:55:00,North Street,n/a
34,2,2014-02-20 17:55:00,North Street,n/a
46,0,2014-02-20 17:55:00,High Street,n/a
44,8,2014-02-20 17:55:00,North Street,n/a
65,2,2014-02-20 17:55:00,South Street,n/a
28,1,2014-02-20 17:55:00,South Street,n/a
51,6,2014-02-20 17:55:00,West Street,n/a
30,1,2014-02-20 17:55:00,West Street,n/a
59,1,2014-02-20 17:55:00,South Street,n/a
58,0,2014-02-20 17:55:00,High Street,n/a
77,1,2014-02-20 17:55:00,South Street,n/a
37,1,2014-02-20 17:55:00,North Street,n/a
42,0,2014-02-20 17:55:00,South Street,n/a
34,1,2014-02-20 17:55:00,High Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
38,3,2014-02-20 17:55:00,North Street,n/a
91,6,2014-02-20 17:55:00,East Street,n/a
20,1,2014-02-20 17:55:00,South Street,n/a
58,7,2014-02-20 17:55:00,West Street,n/a
29,0,2014-02-20 17:55:00,High Street,n/a
65,10,2014-02-20 17:55:00,North Street,n/a
0,0,2014-02-20 17:55:00,North Street,n/a
82,3,2014-02-20 17:55:00,East Street,n/a
35,1,2014-02-20 17:55:00,West Street,n/a
22,1,2014-02-20 17:55:00,West Street,n/a
38,0,2014-02-20 17:55:00,South Street,n/a
40,2,2014-02-20 17:55:00,West Street,n/a
63,12,2014-02-20 17:55:00,West Street,n/a
104,6,2014-02-20 17:55:00,South Street,n/a
26,1,2014-02-20 17:55:00,West Street,n/a
46,0,2014-02-20 17:55:00,West Street,n/a
68,6,2014-02-20 17:55:00,South Street,n/a
60,10,2014-02-20 17:55:00,North Street,n/a
